X	Y	Z	X	Y	Z	X	Y	Z
0.200684	-0.0251465	-1.00684	-0.00427246	-0.00946045	0.00762939	-3750.29	2925	749.707
0.178955	-0.0310059	-1.01123	-0.00933838	0.0383911	0.00854492	-3375.29	2700	374.707
0.184814	-0.0324707	-1.05688	0.0020752	-0.00915527	0.00915527	-3675.29	3300	224.707
0.182129	-0.0263672	-1.01196	-0.00463867	0.00231934	0.00524902	-3900.29	2775	449.707
0.233643	-0.0256348	-0.882568	0.00726318	-0.050415	0.0103149	-3675.29	3150	224.707
0.059082	0.0117188	-0.891846	-0.00378418	-0.106873	0.00720215	-3600.29	3225	749.707
0.174316	-0.0456543	-1.05981	-0.0158691	0.0509033	0.00585938	-3600.29	2925	1049.71
0.447754	-0.122559	-0.899902	0.00341797	-0.0360107	0.0158081	-3825.29	2850	824.707
0.208496	-0.118652	-0.912354	-0.0275269	-0.0227661	0.0831909	-3525.29	2700	374.707
0.272217	-0.0490723	-1.02563	0.0666504	0.0065918	-0.505249	-3525.29	2850	74.707
0.235107	0.0703125	-0.824951	0.16864	-0.0866699	-0.362976	-3075.29	2700	524.707
0.152588	0.0124512	-1.20801	0.379578	-0.629883	-0.22644	-3375.29	3600	524.707
0.290283	-0.166016	-0.99707	0.151917	-0.784851	-0.417175	-2925.29	3750	824.707
0.173096	-0.0744629	-1.10156	0.261719	-0.588989	-0.379883	-2700.29	3825	449.707
0.0869141	-0.277832	-1.12402	-0.0600586	-0.644836	-0.400269	-2475.29	4350	524.707
0.0561523	-0.104004	-1.11694	-0.400269	-0.383423	-0.352966	-2700.29	4875	599.707
0.00292969	-0.0378418	-0.431641	-1.0592	1.16089	0.908508	-4050.29	4875	1049.71
0.336182	0.199707	-0.215088	-0.407471	0.860596	0.816833	-4725.29	4350	524.707
0.168213	0.167236	-0.674072	0.308533	1.15637	0.735962	-4950.29	3225	449.707
0.455322	0.0751953	-0.499512	0.702759	0.995117	0.489258	-4500.29	2925	-0.585938
0.514404	0.104248	-0.85791	1.19971	0.582092	-0.0950928	-3675.29	2250	74.707
0.835938	0.0266113	-0.852295	0.80658	0.0527344	-0.128845	-2400.29	1425	-150.586
0.18042	-0.303223	-1.74023	0.574463	-0.110779	-0.221863	-2400.29	1575	-150.586
0.279785	-0.174072	-1.21729	0.0218506	0.108459	-0.266724	-2250.29	1875	-150.586
0.306885	-0.466553	-1.09546	-0.374939	0.474731	-0.0516357	-2100.29	1125	-150.586
0.395508	-0.102783	-0.500244	-0.0415649	0.835022	0.00183105	-2625.29	750	74.707
